rpt_owner_cik,rpt_owner_name,is_director,is_officer,is_ten_percent_owner
1205369,DUNN THOMAS E,False,True,False
1208889,SCHWARZ MARK E,True,False,False
1295029,Rosenberg Jonathan J,False,True,False
1184217,REYES GEORGE,False,True,False
932334,NEWCASTLE PARTNERS L P,False,False,False
1251296,NEWCASTLE CAPITAL MANAGEMENT LP,False,False,False
1251293,NEWCASTLE CAPITAL GROUP LLC,False,False,False
1339075,TOUMANI ROUBEN,False,True,False
1042968,PRICE ROBERT M,True,False,False
1200932,LOFTUS MARGARET A,True,False,False
1317364,Trepeta Michael,True,True,False
1318870,Novack Scott,True,False,False
1317363,Julia Dean,True,True,False
1357138,Stearns Robert Breuer,True,True,False
1187686,GREGORY JOHN W JR,False,True,False
1190637,BARLOW JAMES F,False,True,False
1016350,BALL F MICHEAL,False,True,False
1357113,Whitney David M,False,True,False
1234771,WIRTH KELSEY,True,False,False
1187274,UNTRACHT ROBERT J,True,False,False
1251353,ROBERTS MARK ANDREW,False,True,False
1232826,MASSENGILL MATTHEW E,True,False,False
1053868,LEVRA CRAIG L,True,True,False
1190642,EDWARDS JEFFREY L,False,True,False
1201248,OMAN MARK C,False,True,False
1251213,BENTSUR RON,False,True,False
1334285,Neher Timothy J,True,True,False
1212880,MULLINS SUZANNE,False,True,False
1239812,WARDEN RENEE,True,False,False
1253706,HENRY DANIEL R,True,True,False
1344681,Blakeley William,False,True,False
932893,ODONNELL MICHAEL P,True,False,False
1246282,PUTNAM ROBERT,True,True,False
1246288,DIAZ ALEZ,True,False,False
1246281,COCUMELLI ALLEN,True,False,False
1294693,Benioff Marc,True,True,False
1294774,Harris Parker,False,True,False
1294737,Moellenhoff David,False,True,False
1201489,CANNON MICHAEL R,True,False,False
1120656,DALEY JAMES E,True,False,False
1032839,GESCHKE CHARLES M,True,False,False
1224148,BALDWIN CAROL MILLS,True,False,False
1032849,POULIOT COLLEEN M,True,False,False
1230632,TSUKAMOTO ANN,False,True,False
1032853,SEDGEWICK ROBERT,True,False,False
1032856,WARNOCK JOHN E,True,False,False
1032857,YOCAM DELBERT W,True,False,False
1142615,BARNHOLT EDWARD W,True,False,False
1230631,MCGLYNN MARTIN M,True,True,False
914546,ADVANCE PUBLICATIONS INC,False,False,False
904775,KIPHART RICHARD P,True,False,False
1350928,Klugman Jeffrey L,False,True,False
914545,NEWHOUSE BROADCASTING CORP,False,False,False
1194518,SIMONE PETER J,True,False,False
1257780,KOSHY GEORGE,False,False,False
1230311,SOFAER ABRAHAM D,True,False,False
1204361,KELLEY WILLAM N,True,False,False
1314771,Stegmann Thomas,True,True,False
1258208,HARTNETT CHARLES J,False,True,False
1295618,Levy-Echeandia Ricardo,True,False,False
1295641,Gonzalez Placido,True,False,False
1184843,SAVAGE STANLEY D,False,True,False
1034465,LAVIZZO-MOUREY RISA J,True,False,False
1259336,DERBY DAVID,False,False,False
1328715,fortune capital management Inc.,False,False,False
1210621,VERMA INDER M,True,False,False
1189026,HAGGERTY CHARLES A,True,False,False
1246102,BIBLIOWICZ JESSICA M,True,True,False
1288859,Blum Robert I,False,True,False
1223265,CASEY JOHN A,False,True,False
1204362,SHENK THOMAS E,True,False,False
1228667,COURTNEY DAVID,True,True,False
1237331,KROHN DUANE,False,True,False
1194262,FARR KEVIN M,True,False,False
1317688,May Lawrence A,True,False,False
1223865,MONTANO DANIEL C,True,True,False
1168573,BRODY MARK S   D/B/A/ FPA,False,False,False
1124417,BEIL GARY,False,True,False
1164775,SCHAFER GLENN S,True,False,False
1100006,AVENUE GROUP INC,False,False,False
1337084,Keane Robert S,True,True,False
1201221,ATKINS HOWARD I,False,True,False
1237342,JOHNSON RONALD P,False,True,False
938525,WAITT THEODORE W,False,False,False
1337069,Holian Janet,False,True,False
1205554,JOHNSON GARRY K,False,True,False
1135075,CHASTELET GERRY,True,False,False
1200137,SMILEY STEPHEN P,True,False,False
1186661,WILL JAMES M,True,False,False
1128796,HONEYCUTT VAN B,True,False,False
1352844,Clark Lawrence S,True,False,False
1345129,Gregg Keith Allen,True,False,False
1228194,MURAD FERID,True,False,False
1318073,Miller Thomas F,True,False,False
1074790,SOUTHWEST LOUISIANA LAND CO INC,False,False,False
1305388,"CompX Group, Inc.",False,False,False
1074791,TIMET FINANCE MANAGEMENT CO,False,False,False
1011657,TITANIUM METALS CORP,False,False,False
1037854,SIMMONS HAROLD C,False,False,False
72162,NL INDUSTRIES INC,False,False,False
69972,NATIONAL CITY LINES INC,False,False,False
24240,CONTRAN CORP,False,False,False
59255,VALHI INC /DE/,False,False,False
1074787,DIXIE RICE AGRICULTURE CORP INC,False,False,False
1186651,MATSON TOM SR,True,False,False
1314779,Jacobs John W,True,True,False
1248932,HARGIS V BURNS,True,True,False
1314403,Nicholson Rick L,False,True,False
1263770,DAUGHERTY WILLIAM S,True,True,False
1184178,PAGE STEPHEN F,True,False,False
1185083,WAGNER HAROLD A,True,False,False
1216698,WOODS BETTY,True,False,False
1263772,WALLEN D MICHAEL,False,True,False
1356596,Burke Shad,False,True,False
1279376,BARR WILLIAM G III,False,True,False
1263774,COTTERELL CHARLES,True,False,False
1034467,MORTON DEAN O,True,False,False
1205553,WEIL KEITH I,False,True,False
1236722,BAKSHI KEN,True,False,False
1304063,Wu Jeanne,False,True,False
1263773,WINDISCH MICHAEL P,False,True,False
1264142,DENTINGER MARK P,False,True,False
1304125,Trigg Leslie,False,True,False
1231172,DERVAN PETER B,True,False,False
1282667,CHAN RICHARD T L,True,False,False
1219682,KLEIN WILLIAM,False,True,False
1234621,MALUGEN JOE T,True,True,False
1303935,Carges Mark T,False,True,False
1237466,WALKER DAVID F,True,False,False
1265922,MCCLELLAND THOMAS,False,True,False
1205552,MANNING JOHANN R JR,True,True,False
1302640,Wong Wai,False,True,False
1263201,KLYMAN JAMES K,True,False,False
900961,WAY STEPHEN L,True,True,False
1357680,SIMMONS JOHN VERNON,False,True,False
1253751,CHIN CHINN,False,True,False
1209303,COBLE HUGH K,True,False,False
1228193,MEREDITH GARY E,True,False,False
1044321,MARXE AUSTIN W & GREENHOUSE DAVID M,False,False,False
1219678,ASHBURN TOM,False,True,False
1158018,DEWAN DEREK E,True,False,False
1085551,SIMMONS L E,True,False,False
1184893,WALKER MARTIN D,True,False,False
1184841,PORTER ROGER B,True,False,False
1114914,SAXE JON S,True,False,False
1228192,LOBDELL RALPH S,True,False,False
1211268,THOMPSON JACK EDWARD,True,False,False
1184891,HOLLAND ROBERT JR,True,False,False
1228941,THOMPSON WESTLEY V,False,True,False
1018624,HARDIS STEPHEN R,True,False,False
1311997,"Zeff Holding Company, LLC",False,False,False
1271640,ZEFF DANIEL,False,False,False
1311996,"Zeff Capital Partners I, L.P.",False,False,False
1313253,Spectrum Galaxy Fund Ltd.,False,False,False
1228191,CARRELL STEWART,True,False,False
1032641,HOLLY JAMES C,True,True,False
1208977,MATHEWSON PETER R,True,True,False
902740,HOWARD ROBERT,False,False,False
1230439,GOLDSTON MARK R,True,True,False
1228190,ALBERTS ALFRED W,True,False,False
1194160,PATTAROZZI RICHARD A,True,False,False
1220021,LAIRD NEIL J,True,False,False
1184888,FIELDS WILLIAM R,True,False,False
1014795,SANFORD MARY C,False,False,False
1177193,BURNS JOHN M,True,False,False
1328181,Schatz Jill E,False,False,False
1228910,SCHATZ DOUGLAS S & SCHATZ JILL E FAMILY TRUST,False,False,False
1007705,SCHATZ DOUGLAS S,True,False,False
1184372,BECK TERESA,True,False,False
1268774,DAVIS JEFFREY S,False,True,False
1163404,DAVIDOFF ROBERT,True,False,False
1269076,FINLAY MATTHEW W,True,False,False
1351189,Mulholland Robert E,True,False,False
1016107,CLEVENGER WAYNE L,True,False,False
1255950,MURPHY EDMUND F JR,True,False,False
1326702,Zinn Matthew,False,True,False
1242602,GRANT ROBERT,False,True,False
1022713,CROTTY GERALD C,True,False,False
1019702,AMES B CHARLES,True,False,False
1358010,DURRIE DANIEL S,True,False,False
1197250,OMALLEY WILLIAM C,True,False,False
1182944,MOORE JOHN A,False,True,False
1132434,MCELVAIN KENNETH S,True,True,False
1057586,MURRILL PAUL W,True,False,False
1242599,LIDOW ALEXANDER,True,True,False
1196913,MARLETT CHARLES D,False,True,False
1216284,KENNEDY GARY F,False,True,False
1196911,GARTON DANIEL P,False,True,False
1175928,HORTON THOMAS W,False,True,False
1196906,ARPEY GERARD J,True,True,False
1287612,GASTON DWIGHT,False,True,False
1217469,HESS MICHAEL S,False,True,False
1358090,McMahon Frank Vincent,False,True,False
1287611,IRVINE DIANE M,True,True,False
1212507,LOWRY SHAWN,False,True,False
1197249,MADONNA JON C,True,False,False
1236754,MULCAHY JOHN R,True,False,False
1193918,SHROTRIYA RAJESH C MD,True,True,False
1125826,LEONARD J WAYNE,True,False,False
1231683,KANNE ROGER,True,False,False
937711,POWELL EARL W,True,True,False
1065094,DU MOULIN RICHARD T,True,False,False
1246768,ANDREWS MARK L ESQ,False,True,False
1213879,LARSON ANITA F,True,True,False
1242774,LASKER ALAN W,False,True,False
1198405,LESAR DAVID J,True,True,False
1238803,HERMA JOHN F,True,False,False
1231686,NATH RAVI,True,False,False
1354703,Gagnon Paul G,False,True,False
1238804,KELLOGG WILLIAM S,True,False,False
1193293,TOCIO MARY ANN,True,True,False
1351969,Aron Doug S,False,True,False
1197242,CARLSON ARTHUR R,True,False,False
1263968,MCCLINTON DONALD G,True,False,False
935979,SOMMERHAUSER PETER M,True,False,False
1315149,Aguilar Gale Ramon,False,True,False
1212503,ORR ROBERT D,True,True,False
1283535,PATOU GARY,True,False,False
1195445,KIERNAN DONALD E,True,False,False
908378,TORRAY ROBERT E,True,False,False
1208414,DOOLEY THOMAS E,True,False,False
1243928,LARSON GARY L,False,True,False
1236711,BARTON JAMES M,False,True,False
1191933,SCHUMACHER DIANE K,False,True,False
1225922,ALBER LAURA,False,True,False
1265654,ANBINDER STEPHEN E,True,True,False
1243129,MEYERS DAVID L,False,True,False
1243122,FRENCH RICHARD L,False,True,False
1302945,Vana David G,False,True,False
1355220,Hopper Paul,True,False,False
1057485,NORTON PHILLIP G,True,True,False
1213229,MACDONALD BRAZDLEY T,True,False,False
1197235,BENNETT JOSEPH M,False,True,False
1243930,BUCK CARL N,False,True,False
1236077,BRUGGEMAN DOUGLAS,False,True,False
1224582,SCHULTZ T THEODORE,True,False,False
1240101,LINDSAY DAVID J,False,True,False
1355176,Wegman Edwin,True,True,False
1220097,VAN OSTENBRIDGE PAUL,True,True,False
1220104,MADDEN TIMOTHY G,False,True,False
1220121,HOLLAND JULIE E,False,True,False
1166090,BROWN ARTHUR,True,False,False
1341910,Yeaton Howard,True,False,False
1342216,Westra Michael A,True,False,False
1220114,VAN WINGERDEN ABRAHAM,True,False,False
1117037,JAGID JEFFREY M,True,True,False
1246073,ERICKSON STEPHEN C,False,True,False
1184480,RUSS JAMES G,True,False,False
1357988,Hamby Crystal L,False,True,False
1225593,HOSTER DAVID H II,True,True,False
1185416,ROTH TERRY CHRISTOPHER,False,True,False
1282467,ERVIN R SCOTT,False,False,False
1185422,LAFITTE MICHAEL J,False,True,False
1253642,DEVANEY PAT,False,True,False
902607,KHOURY AMIN J,True,True,False
1249683,GOUGH THOMAS L,True,True,False
1354643,"Janet H. & C. Harry Knowles Foundation, Inc.",False,False,False
1014182,PRINCE LARRY L,True,False,False
942692,FABRIKANT CHARLES,True,False,False
1341148,Kelso Bruce S,False,True,False
939465,KNOWLES C HARRY,True,False,False
1220140,PIRTLE WILLIAM L,False,False,False
1231580,FARNHAM SHELLEY A,False,True,False
1259919,POLLOCK JOHN V,True,False,False
1255951,POAD MARTIN L,True,False,False
1032028,SATTERLEE W BRYAN,True,False,False
1355189,Wegman Thomas,True,True,False
1299337,Pelofsky Joel,True,False,False
1132705,CONNOLLY EDWARD M JR,True,False,False
1217589,BYRNES JAMES A,True,False,False
1305178,Church Jill Marie,False,True,False
1007425,PETERSEN ALLEN D,True,False,False
1197246,LABORDE CLIFFE F,False,True,False
1219596,DILLON THOMAS R,False,True,False
1221369,GREY ROBERT J,False,True,False
1219055,MCCARTHY W BARRY JR,False,True,False
1033331,HASTINGS REED,True,True,False
1239172,AMBRO & CO,False,False,False
1358022,HOWE ALAN BRADLEY,False,True,False
1182711,MCCARTHY IAN J,False,True,False
1182709,FURLOW MICHAEL H,False,True,False
1320771,Gary Kenneth J,False,True,False
1210429,STEWART TERENCE P,True,False,False
1182714,OLEARY JAMES,False,True,False
1250468,MAGRUDER LOGAN,False,True,False
1232621,TANG CAPITAL MANAGEMENT LLC,False,False,False
1191935,TANG CAPITAL PARTNERS LP,False,False,False
1178579,TANG KEVIN C,True,False,False
1210428,MOREAU GARY L,True,False,False
1182386,SKRZYPCZAK CASIMIR S,True,False,False
1236288,MOERDYK CAROL B,True,False,False
1144189,LASATER DAN R,False,False,False
1286199,BELANOFF JOSEPH K,True,True,False
1210427,HOWELL PETER C,True,False,False
1208460,ROWE DANIEL T,True,True,False
1183214,CHIKAMOTO ALWYN,False,True,False
1190167,CHINN NEIL R,False,True,False
1249405,MIWA HISAO SAL,True,False,False
1325481,YOUNG ROSCOE C II,True,False,False
1180692,MOONEY KEVIN W,True,False,False
1098385,FELDMAN ROGER,True,False,False
1187205,SCHELL THEODORE,True,False,False
1286208,ROE ROBERT L,False,True,False
1232447,WOLOHAN JAMES L,True,False,False
1212379,BRILL JAMES L,True,False,False
1232513,LAZAROFF STEPHEN J,True,False,False
1216631,WEINBERG W HENRY,False,True,False
1273616,MATHIESON DAVID,False,True,False
1283195,CHAPMAN ROBERT H III,True,False,False
1295281,Nowak Paul J,False,True,False
1232518,DOLINSKI RICHARD J,True,False,False
1209832,PRABHU VASANT M,False,True,False
1216628,HILLEMAN JERYL L,False,True,False
1218326,RICCI PAUL,True,True,False
1216627,GOLDWASSER ISY,False,True,False
1232529,ABBOTT EDWARD P,True,False,False
1245503,MARTINELLA JACQUES,False,True,False
1216626,GOLDBY STEVEN D,True,True,False
1353140,Gellein Raymond L JR,False,False,False
1251776,KLOTSCHE ALLAN J,True,False,False
1323300,Benito Javier,False,True,False
1229641,SAGE RICHARD D,True,False,False
1320444,Abdallah Kamal,True,True,False
1197244,DICK STEPHEN W,False,True,False
1134872,HOWLETT TERRY,True,True,False
1356520,POLLARD RAYMOND,True,False,False
1347082,Donino Thomas,True,False,False
1347089,BATL Management LP,False,False,False
1222853,PEIRCE ROGER D,True,False,False
1308633,Knock Craig A,False,True,False
1129892,TOAN BARRETT A,True,False,False
1220122,MEDVIN HARVEY N,True,False,False
1198108,BUCHANAN ROBERT C,True,False,False
1356205,DAVIS JACK ALAN,True,False,False
1310861,CHATPAR PREM C,False,False,False
1158643,FINLEY G STEPHEN,False,True,False
1304010,"Dutchess Advisors, LLC",False,False,False
1318889,McQuinn Ted M,False,True,False
1232042,SPATZ D DEAN,True,False,False
1352181,McCauley Christopher James,True,True,False
1113412,POWERS LYNN,True,True,False
1281041,CULPEPPER PETER R,False,True,False
1251855,MATHEWS JANET,False,True,False
1292578,Mills Charles A,False,True,False
1305432,Sear Timothy R G,True,False,False
1210383,CROWE MARSHALL A,True,False,False
1041956,BUSH MARY K,True,False,False
1095399,FITES DONALD V,True,False,False
1190977,WELLS DARREN R,False,True,False
1123548,MOOMJIAN CARY A JR,False,True,False
1197247,LOUSTEAU J KEITH,False,True,False
1201069,TOPPEN TIMOTHY R,False,True,False
1191240,LEBLANC RICHARD A,False,True,False
1183691,REINHARD J PEDRO,True,False,False
1235738,BARKLEY JAMES M,False,True,False
1251778,WILLIAMSON MATTHEW O,True,False,False
1357321,Maddox Cynthia B,False,True,False
1323803,Green Leonard C,True,False,False
1256937,SINCLAIR CHARLES L,False,True,False
1273211,DAVITT MICHAEL,False,False,False
1193316,RICH JONATHAN D,False,True,False
1190595,ONEIL WILLIAM C,True,False,False
1190968,MILLER GARY A,False,True,False
1249716,RIBAUDO J MICHAEL,True,False,False
1222848,HARRIS FRANK W,True,False,False
1255602,GASS ANDREW,False,True,False
1278088,KREIDER LAWRENCE E,False,True,False
1344205,Nash Avi M,True,False,False
1075947,SWENT JAMES W III,False,True,False
1254530,BARBARO RONALD D,True,False,False
1201067,KRAMER RICHARD J,False,True,False
1188330,KEEGAN ROBERT J,True,True,False
1193630,GEORGE PETER,False,True,False
1193317,KAPLAN JAROSLAV,False,True,False
1211344,IPPOLITO ROBERT S,False,True,False
1193315,JASINOWSKI ISABEL H,False,True,False
1232023,MCCOLLUM LEE,True,False,False
1205437,HOPKINS WILLIAM M,False,True,False
1188110,KOEN PHILIP J,True,True,False
1252308,JOHNSON DOUGLAS E,False,True,False
1193314,HARVIE C THOMAS,False,True,False
1190965,HARPER DONALD D,False,True,False
1197253,TAYLOR DEAN E,True,True,False
1232914,TOLAN MARY A,True,False,False
1232024,FEDOROFF NINA,True,False,False
1196387,GINGO JOSEPH M,False,True,False
1124261,WACHTER ERIC PHD,True,True,False
1190964,GEIER KATHLEEN T,False,True,False
1136537,CONNELL THOMAS A,False,True,False
1190950,CLARK CHRISTOPHER W,False,True,False
1216318,JORISSEN JEFFREY P,False,True,False
1216320,COLMAN JONATHAN,False,True,False
1070379,FANNING JOHN C,True,True,False
1191891,GADEK STANLEY J,False,True,False
1216319,FANNON BRIAN W,False,True,False
1217354,MCLAREN JEFFREY L,True,False,False
1160225,KELLY EDWARD J III,True,True,False
1269770,MASON ALEXANDER T,True,True,False
1314455,Wilson Jay M,True,False,False
1243811,REID J MARSHALL,False,True,False
1269940,FLOECKHER PETER W JR,False,True,False
1240971,STONE GARY L,True,False,False
1269985,PAESE MICHAEL M,False,True,False
1243810,UNGER JOHN L,False,True,False
1269939,KAKARIS DEBORAH A,False,True,False
1343961,Nelson Willie Hugh,True,False,False
1349913,Malin John,False,False,False
1179634,KANG JAMES,True,True,False
1183718,WETMORE DOUGLAS J,False,True,False
1271944,MEANY DENNIS M,False,True,False
1183731,GOLDSTEIN RICHARD A,True,True,False
1215904,DUNSDON JAMES H,False,True,False
1183734,HEASLIP STEVEN J,False,True,False
1322615,Zava Michael E,False,True,False
1253050,YOUNA GERARD F,False,True,False
1253048,VETTER DAVID R,False,True,False
1253047,TREPANI JOSEPH B,False,True,False
1253046,TODD WILLIAM K JR,False,True,False
1196754,RAYMUND STEVEN A,True,True,False
1253042,OSBOURN JOSEPH A,False,True,False
1212690,OMALLEY ROBERT,False,True,False
1282998,LAMNECK KENNETH T,False,True,False
1253039,HUNTER WILLIAM J,False,True,False
1319288,Huber Thomas F,False,True,False
1257137,WIGGINS ROBERT S,True,True,False
1253038,HOWELLS JEFFERY P,True,True,False
1253037,HAMILTON LAWRENCE W,False,True,False
1253036,GODWIN BENJAMIN B,False,True,False
1290511,Ahn Sung Tae,True,False,False
1319192,Ducatelli Thomas J,False,True,False
1221128,THOMAS A ROLAND,True,True,False
1253035,DANNEWITZ CHARLES V,False,True,False
1253031,CANO NESTOR,False,True,False
1299335,Amsellem Alain,False,True,False
1182286,PRICE LINDEN H,False,True,False
1193231,BENARD JAMES J,False,True,False
1180810,BARATTA ROBERT O  MD,True,False,False
1163207,HERLIHY DONAGH,False,True,False
1296351,Stoe George P,False,True,False
1358009,JACKSON GARY D,False,True,False
1235746,SOKOLOV RICHARD S,True,True,False
