rpt_owner_cik,rpt_owner_name,is_director,is_officer,is_ten_percent_owner
1205369,DUNN THOMAS E,False,False,False
1208889,SCHWARZ MARK E,False,False,False
1295029,Rosenberg Jonathan J,False,False,False
1184217,REYES GEORGE,False,False,False
1339075,TOUMANI ROUBEN,False,False,False
1317364,Trepeta Michael,False,False,False
1318870,Novack Scott,False,False,False
1317363,Julia Dean,False,False,False
1187686,GREGORY JOHN W JR,False,False,False
1190637,BARLOW JAMES F,False,False,False
1016350,BALL F MICHEAL,False,False,False
1234771,WIRTH KELSEY,False,False,False
1251353,ROBERTS MARK ANDREW,False,False,False
1053868,LEVRA CRAIG L,False,False,False
1190642,EDWARDS JEFFREY L,False,False,False
1201248,OMAN MARK C,False,False,False
1251213,BENTSUR RON,False,False,False
1334285,Neher Timothy J,False,False,False
1212880,MULLINS SUZANNE,False,False,False
1253706,HENRY DANIEL R,False,False,False
1294693,Benioff Marc,False,False,False
1294774,Harris Parker,False,False,False
1294737,Moellenhoff David,False,False,False
1230632,TSUKAMOTO ANN,False,False,False
1142615,BARNHOLT EDWARD W,False,False,False
1230631,MCGLYNN MARTIN M,False,False,False
914546,ADVANCE PUBLICATIONS INC,False,False,False
1350928,Klugman Jeffrey L,False,False,False
914545,NEWHOUSE BROADCASTING CORP,False,False,False
1194518,SIMONE PETER J,False,False,False
1257780,KOSHY GEORGE,False,False,False
1230311,SOFAER ABRAHAM D,False,False,False
1314771,Stegmann Thomas,False,False,False
1258208,HARTNETT CHARLES J,False,False,False
1295641,Gonzalez Placido,False,False,False
1184843,SAVAGE STANLEY D,False,False,False
1259336,DERBY DAVID,False,False,False
1328715,fortune capital management Inc.,False,False,False
1288859,Blum Robert I,False,False,False
1223265,CASEY JOHN A,False,False,False
1228667,COURTNEY DAVID,False,False,False
1237331,KROHN DUANE,False,False,False
1317688,May Lawrence A,False,False,False
1223865,MONTANO DANIEL C,False,False,False
1124417,BEIL GARY,False,False,False
1100006,AVENUE GROUP INC,False,False,False
1201221,ATKINS HOWARD I,False,False,False
1337084,Keane Robert S,False,False,False
1237342,JOHNSON RONALD P,False,False,False
938525,WAITT THEODORE W,False,False,False
1337069,Holian Janet,False,False,False
1205554,JOHNSON GARRY K,False,False,False
1135075,CHASTELET GERRY,False,False,False
1200137,SMILEY STEPHEN P,False,False,False
1186661,WILL JAMES M,False,False,False
1352844,Clark Lawrence S,False,False,False
1228194,MURAD FERID,False,False,False
1318073,Miller Thomas F,False,False,False
1074790,SOUTHWEST LOUISIANA LAND CO INC,False,False,False
1305388,"CompX Group, Inc.",False,False,False
1074791,TIMET FINANCE MANAGEMENT CO,False,False,False
1011657,TITANIUM METALS CORP,False,False,False
1037854,SIMMONS HAROLD C,False,False,False
72162,NL INDUSTRIES INC,False,False,False
69972,NATIONAL CITY LINES INC,False,False,False
24240,CONTRAN CORP,False,False,False
59255,VALHI INC /DE/,False,False,False
1074787,DIXIE RICE AGRICULTURE CORP INC,False,False,False
1186651,MATSON TOM SR,False,False,False
1314779,Jacobs John W,False,False,False
1248932,HARGIS V BURNS,False,False,False
1314403,Nicholson Rick L,False,False,False
1263770,DAUGHERTY WILLIAM S,False,False,False
