ACCESSION_NUMBER	OWNERSIGNATURENAME	OWNERSIGNATUREDATE
0001415889-25-018598	/s/ Peter W. Getsinger	30-JUN-2025
0001415889-25-018596	/s/ Barry Eggers	30-JUN-2025
0001415889-25-018596	/s/ Peter Nieh	30-JUN-2025
0001628280-25-033602	/s/ Anthony Kappus, attorney-in-fact	30-JUN-2025
0000950170-25-091845	/s/ Jonathan Provoost, by power of attorney	30-JUN-2025
0001628280-25-033600	/s/ Anthony Kappus, attorney-in-fact	30-JUN-2025
0001415889-25-018595	Lightspeed General Partner IX, L.P., By: Lightspeed Ultimate General Partner IX, Ltd., its General Partner, By /s/ Ravi Mhatre, Director	30-JUN-2025
0001415889-25-018595	Lightspeed SPV I-C, LLC, By: LS SPV Management, LLC, its Manager, By /s/ Ravi Mhatre, Managing Member	30-JUN-2025
0001415889-25-018595	Lightspeed Venture Partners IX, L.P., By: Lightspeed General Partner IX, L.P., its General Partner, By: Lightspeed Ultimate General Partner IX, Ltd., its General Partner, By /s/ Ravi Mhatre, Director	30-JUN-2025
0001415889-25-018595	Lightspeed SPV I, LLC, By: LS SPV Management, LLC, its Manager, By /s/ Ravi Mhatre, Managing Member	30-JUN-2025
0001415889-25-018595	Lightspeed Ultimate General Partner IX, Ltd., By /s/ Ravi Mhatre, Director	30-JUN-2025
0001415889-25-018595	Lightspeed Venture Partners Select II, L.P., By: Lightspeed General Partner Select II, L.P., its General Partner, By: Lightspeed Ultimate General Partner Select II, Ltd., its General Partner, By /s/ Ravi Mhatre, Director	30-JUN-2025
0001415889-25-018595	Lightspeed General Partner Select II, L.P., By: Lightspeed Ultimate General Partner Select II, Ltd., its General Partner, By /s/ Ravi Mhatre, Director	30-JUN-2025
0001415889-25-018595	Lightspeed SPV I-B, LLC, By: LS SPV Management, LLC, its Manager, By /s/ Ravi Mhatre, Managing Member	30-JUN-2025
0001415889-25-018595	LS SPV Management, LLC, By /s/ Ravi Mhatre, Managing Member	30-JUN-2025
0001415889-25-018595	Lightspeed Ultimate General Partner Select II, Ltd., By /s/ Ravi Mhatre, Director	30-JUN-2025
0001628280-25-033598	/s/ Anthony Kappus, attorney-in-fact	30-JUN-2025
0001415889-25-018594	/s/ Ravi Mhatre	30-JUN-2025
0001628280-25-033595	/s/ Anthony Kappus, attorney-in-fact	30-JUN-2025
0001213900-25-059923	/s/ Melanie Figueroa, Attorney-in-Fact.	30-JUN-2025
0001628280-25-033593	/s/ Anthony Kappus, attorney-in-fact	30-JUN-2025
0001628280-25-033591	/s/ Anthony Kappus, attorney-in-fact	30-JUN-2025
0001628280-25-033589	/s/ Anthony Kappus, attorney-in-fact	30-JUN-2025
0001628280-25-033587	/s/ Anthony Kappus, attorney-in-fact	30-JUN-2025
0001628280-25-033585	/s/ Elliot D. Hoops, Attorney-In-Fact for Maryanne Lavan	30-JUN-2025
0001415889-25-018591	/s/ John Swieringa, by Dean A. Manson, Attorney-in-Fact	30-JUN-2025
0001415889-25-018588	/s/ Cantey M. Ergen, by Dean A. Manson, Attorney-in-Fact	30-JUN-2025
0001415889-25-018588	/s/ Charles W. Ergen, by Dean A. Manson, Attorney-in-Fact	30-JUN-2025
0001628280-25-033583	/s/ Elliot D. Hoops, Attorney-In-Fact for Connie K. Duckworth	30-JUN-2025
0001213900-25-059915	/s/ Nadir Ali	30-JUN-2025
0001213900-25-059915	Next Move Partners LLC By: /s/ Melanie Figueroa Melanie Figueroa, Co-Managing Member By: /s/ Nadir Ali Nadir Ali, Co-Managing Member	30-JUN-2025
0001213900-25-059915	Next Move Capital LLC By: Next Move Partners LLC, as Managing Member By: /s/ Melanie Figueroa Melanie Figueroa, Co-Managing Member By: /s/ Nadir Ali Nadir Ali, Co-Managing Member	30-JUN-2025
0001213900-25-059915	/s/ Melanie Figueroa	30-JUN-2025
0001213900-25-059914	/s/ Melanie Figueroa, Attorney-in-Fact.	30-JUN-2025
0001213900-25-059913	/s/ Shanti Priya	30-JUN-2025
0001124796-25-000109	/s/ Julie Dimmick, as attorney-in-fact	30-JUN-2025
0001140361-25-024252	/s/ Brad L. Tade, by Adam S. Grossman as Attorney-in-fact	30-JUN-2025
0001415889-25-018586	/s/ Jill Falor, Attorney-in-Fact	30-JUN-2025
0001415889-25-018585	/s/ Jill Falor, Attorney-in-Fact	30-JUN-2025
0001415889-25-018584	/s/ Jill Falor, Attorney-in-Fact	30-JUN-2025
0001415889-25-018583	/s/ Jill Falor, Attorney-in-Fact	30-JUN-2025
0001415889-25-018582	/s/ Jill Falor, Attorney-in-Fact	30-JUN-2025
0001415889-25-018581	/s/ Jill Falor, Attorney-in-Fact	30-JUN-2025
0000950170-25-091838	/s/ Warren E. Buffett	30-JUN-2025
0001415889-25-018580	/s/ Jill Falor, Attorney-in-Fact	30-JUN-2025
0001568100-25-000080	/s/ Irving Gomez, Attorney-in Fact For: Sarah J. Franklin	30-JUN-2025
0001415889-25-018579	/s/ Rodney Young, Attorney-in-Fact, Attorney-in-Fact	30-JUN-2025
0001415889-25-018578	/s/ Rodney Young, Attorney-in-Fact, Attorney-in-Fact	30-JUN-2025
0001568100-25-000078	/s/ Irving Gomez, as Attorney-in-Fact for Teresa Carlson	30-JUN-2025
0001568100-25-000076	/s/ Irving Gomez, as Attorney-in-Fact, for William Losch	30-JUN-2025
0001562180-25-005140	/s/ Brad Brubaker, Attorney-in-Fact	30-JUN-2025
0001562180-25-005139	/s/ Brad Brubaker, Attorney-in-Fact	30-JUN-2025
0001562180-25-005138	/s/ Brad Brubaker, as Attorney-in-Fact	30-JUN-2025
0001562180-25-005136	/s/ Brad Brubaker, as Attorney-in-Fact	30-JUN-2025
0001568100-25-000074	/s/ Irving Gomez, as Attorney-in-Fact, for Rathi Murthy	30-JUN-2025
0000950170-25-091834	/s/ Robert Hilton, Attorney-in-fact	30-JUN-2025
